,device,topic_level1,topic_level2,topic_level3,action,related topic (noun),title,question,answer,type,comment,
2061,samsung_galaxi_s7,"['troubleshoot', 'software']",['internet&network'],['wifi'],troubleshoot wifi connectivity,wifi connectivity,Troubleshoot issues related to Wi-Fi connectivity on your Samsung Galaxy S7,Troubleshoot issues related to Wi-Fi connectivity on your Samsung Galaxy S7,"This article helps troubleshoot Wi-Fi connectivity issues on your Samsung Galaxy S7  
  You may have Wi-Fi connectivity issues if your phone: 
   
   Can't connect to a wireless network. 
   Connects to a wireless network, but is unable to browse. 
   Experiences limited connectivity when connected to Wi-Fi. 
   
  These steps help identify and resolve the underlying cause. After completing each step, test to see if the issue is fixed. 
   
    Make sure you've turned on Wi-Fi on your Samsung Galaxy S7 .  
     
     From the home screen, tap Apps. 
     Scroll to and tap Settings. 
     Tap Wi-Fi. 
     If necessary, tap the Wi-Fi switch to ON. 
      
    Make sure the wireless network password is correct.  If the wireless network password is incorrect or changes, your Samsung Galaxy S7 can't connect to the Wi-Fi network. Remove and reconnect to the network to make sure the password is correct. 
     
     From the home screen, tap Apps. 
     Scroll to and tap Settings. 
     Tap Wi-Fi. 
     Tap and hold the connected network. 
     Tap Forget network. 
     Tap the network you want to connect to. 
     Enter the correct password, then tap CONNECT. 
      
    Perform a soft reset.  
     
     Press and hold the Power and Volume down keys at the same time. 
     Release both keys as soon as the device restarts. 
      
   
  If you're still having issues, please try the Sprint Community pages.",device,,
1563,no_device,['troubleshoot'],[],[],"troubleshoot phone, troubleshoot device","slow device, slow phone, phone freezes, device freezes, device turns off unexpectedly","Troubleshoot when your Nexus 6P slows, freezes, or turns off unexpectedly","Troubleshoot when your Nexus 6P slows, freezes, or turns off unexpectedly","This article helps troubleshoot your Nexus 6P slowing, freezing, or turning off unexpectedly
You may have performance issues if your Nexus 6P:
Performs slowly Freezes Turns off or unexpectedly restarts Displays error messages Is unable to install or update applications
Try each of these steps to see if it helps improve your phone's performance.
Perform a soft reset.
A soft reset restarts your phone and does not erase any of your content or data.
Press and hold the Power key for 8 seconds. The phone will power off and back on.
Determine if your phone has low memory.
From the home screen, tap the All Apps icon. Scroll to and tap Settings . Scroll to and tap Storage & USB . Memory usage is displayed. If your phone has low memory, troubleshoot low memory issues .
Clear the application cache.
Clear the application cache on your applications to free up space and improve performance. Be sure you clear only the application cache and not the application data . When you clear the application data , it removes your personal settings and info such as login information and high scores. Clearing the application cache doesn't remove your personal settings or information. Using two fingers, tap and drag down the notification bar. Tap the Settings icon. Tap Apps . Scroll to and tap the application. Tap Storage . Tap CLEAR CACHE .
Close background applications.
Some apps continue to run in the background after you exit them. Sprint recommends that you close background applications when you're not using them.
Verify that your Nexus 6P is running the most recent software.
There may be a software update that improves battery life on your phone. Check for software updates.
If you're still having issues, try the Sprint Community pages or make an appointment at a convenient Sprint Repair center.",general,,
323,no_device,"['device', 'account']",['account'],[],apply content filter,"parental control, content filter",FAQs about parental controls using content filters,Does the content filter apply to all devices on my account?,No. The content filter can be set to on or off individually for each device on your account.,general,,
959,no_device,"['service', 'hardware']","['phone', 'camera']",['phone'],"program sprint phone connect 2, program a device",sprint phone connect 2,Program your Sprint Phone Connect 2,Program your Sprint Phone Connect 2,"Steps to activate your Sprint Phone Connect 2
Before completing these steps, ensure that the following conditions are met:
The battery is installed in your Sprint Phone Connect 2. The included antenna is attached to your Sprint Phone Connect 2. A land-line handset is connected to the RJ11 port on your Sprint Phone Connect 2. The power supply is connected to your Sprint Phone Connect 2.
Hands Free Activation
If this is the first time activating your device, Hands Free Activation automatically starts when you power it on for the first time.
With your device powered off, press and hold the Power key until the power indicator turns on. Wait 3-5 minutes for Hands Free Activation to complete. Note: The Power, Signal, and Signal Strength LEDs blink left to right during Hands Free Activation After Hands Free Activation completes, the LEDs turn off and then come back on. You've now completed hands free activation.
Reprogramming
Reprogram your Sprint Phone Connect 2 if it was previously programed.
With your device powered off, press and hold the Power key until the power indicator turns on. Using the connected handset, quickly dial ##786# . The LEDs turn off and Hands Free Activation begins. Wait 3-5 minutes for Hands Free Activation to complete. Note: The Power, Signal, and Signal Strength LEDs blink left to right during Hands Free Activation After Hands Free Activation completes, the LEDs turn off and then come back on. You've now reprogrammed your Sprint Phone Connect 2.
If you are having any difficulty with activation, make an appointment at a nearby Sprint Store for assistance getting your device programmed.",general,,
97,appl_iphon_4_8gb,[],[],[],share a video,,Share a video - Apple iPhone 4 8GB Certified Pre Owned As You Go,Share a video - Apple iPhone 4 8GB Certified Pre Owned As You Go,"From the home screen, tap Photos.

	Tap the preferred album.

	Tap the preferred video.

	Tap the Share icon.

	Tap Next.

	Tap the preferred service.

	Enter any additional information, then tap Send or Publish.

	Note:Steps may vary between different services.

	If the service is not already set up on the handset, enter the login information and tap Sign In.

	The video is now shared.",device,,
1252,samsung_galaxi_s7,['software'],"['setting', 'default_apps']","['application', 'key feature']",,"special edition, key features, special application",FAQs related to key features on your Samsung Galaxy S7 Special Edition,Does my Samsung Galaxy S7 Special Edition come with any special applications?,"Yes, your Samsung Galaxy S7 Special Edition comes with S Voice, which allows you to use your voice to control your device and perform other tasks.",device,,
1787,no_device,"['device', 'service']","['service', 'available']",[],,"monthly installments, business discretionary credits, discounted device promotion",FAQs about monthly installments,Are business discretionary credits or other discounted device promotions (including those available as part of a Master Service Agreement with Sprint) combinable with monthly installments?,No. Currently no business discretionary credits or other discounted device promotions are combinable with monthly installments.,general,,
474,no_device,['software'],['internet&network'],"['roaming', 'data']",,"data roaming, data limits","Know what data limits apply when roaming in the U.S., Puerto Rico and U.S. Virgin Islands","Know what data limits apply when roaming in the U.S., Puerto Rico and U.S. Virgin Islands","The information below tells you about nationwide data roaming limits. If you are traveling internationally, refer to the information found in Know what data limits apply when roaming internationally.
Your limit
If you use your device while roaming in the U.S. or Puerto Rico, you may use up to the monthly data roaming allowance included in your plan; refer to your plan for roaming usage limitations. Data usage is calculated by the size of the file sent or received. Use our data calculator to estimate your data usage.
Check your usage
You can track your usage online by signing in to My Sprint . When you view your bill, separate line items will be displayed for Sprint Network and domestic roaming for all data plans, with information shown separately for phones and mobile broadband cards. Sprint Network use includes use on the Sprint network, Extended LTE and Extended Coveragenetworks. Roaming use includes use on roaming networks.
Notifications
We'll send notifications to the account holder via the selected notification preference as you get close to or reach your limit. For domestic data roaming, we will send notifications when you reach 75%, 90% and 100% of your limit. * To update your notification preferences, you can manage your account online by signing in to My Sprint or just contact us . Note: When updating your online preferences, you must change your default notification to Yes and select either text or email to receive the notifications.
Suspending your service
Sprint will suspend your data roaming service when you exceed your limit. The data roaming suspension only limits access to data while roaming; there is no impact to voice or text while roaming and all service while on the Sprint network will remain available.*
Charges
Check plan details for charges that may apply for data roaming.*
Restoring your service
Your data roaming service will be automatically restored at the start of your next billing cycle.
If you have any additional questions about data roaming, you can view our frequently asked questions about data roaming.
*Mobile broadband devices offer additional options that are not available for mobile phones. With mobile broadband devices:
At 100%, you will have the option to suspend your data roaming service for the month or continue to use it and pay the overage charges. If charges are accepted, you will continue to receive text or email notifications at 20% increments. Data roaming is 25/MB (for plans starting after August 8, 2010) after you hit your plan's monthly data roaming limit. If you signed up or changed your plan after August 8, 2010, and you reach your limit, we'll send you to a special web page. Click Restore service to accept any overage charges for the rest of your billing cycle. If you have an older plan, contact us to see if you can change to a plan that will accept overage charges.
**Roaming charges could be delayed up to 60 days; notifications may be delayed based on when roaming partners provide usage details. Customers using Static IP or DataLink will not receive notifications and will not be suspended.",general,"roaming in US, roaming in Puerto Rico, roaming in Virgin Islands",
101,no_device,[],[],[],"use content filters, block adult content, block malware","parental controls, content filter, adult content, malware",FAQs about parental controls using content filters,Will the content filter block 100% of adult content and malware?,"The content filter is not guaranteed to be 100% accurate, but is very accurate with daily updates to the filter list.",general,,
250,no_device,"['device', 'hardware']",['equipment'],[],enroll in device protection program,"monthly installments, device protection program, total equipment protection",FAQs about monthly installments,Can a customer enroll in a device protection program (e.g. Total Equipment Protection) for devices purchased with monthly installments?,"Yes, the customer has the option to enroll in the various device protection programs to protect, replace and repair their device. Enrollment in a device protection program is optional, but Sprint highly encourages customers to enroll to protect their investment.
The customer is responsible for their device if it breaks during their Installment Agreement. The customer will be responsible for the remainder of the unpaid balance regardless of the operability of the tablet.",general,device purchased with montnly installments,
518,no_device,['service'],['accessory'],[],,"monthly installments, accessories",FAQs about monthly installments for accessories,What are monthly installments for accessories?,"Monthly installments are an affordable option to pay for an accessory over time. Customers simply purchase an accessory with a variable down payment, depending on credit, and agree to monthly installment payments. This offer is available only in company-owned stores.",general,,
705,no_device,['software'],['default_apps'],['music'],purchase music tracks,sprint music plus,Learn more about Sprint Music Plus,How do I purchase music tracks?,"From the main menu on your phone, select Sprint Music Plus. Select Music Store. Search and select track to purchase. You can search by artist, title or keyword, or music category. Click Buy Track > OK.
",general,,
520,no_device,"['device', 'service', 'hardware']","['phone', 'camera']",['phone'],resolve phone repair issue,"device protection, phone repair issue",FAQs about device protection,How is my phone repair issue resolved?,"If you have a problem with your phone, every effort will be made to resolve your issue and return your original device back to you. Repair Centers may need to mail devices in for repairs. In most case, mail-in repairs will be ready for pickup in 5 business days. Some issues will need to be resolved by exchanging your device with a replacement. Replacement devices may be remanufactured equipment, and if your same make and model is not available, a comparable model may be substituted. Other issues may be resolved through an upgrade or new phone purchase, or by contacting Asurion regarding a phone replacement claim.",general,,
364,samsung_galaxi_s7,['software'],['calls'],['call'],make conference call,special editon,Make a conference call - Samsung Galaxy S7 Special Edition,Make a conference call - Samsung Galaxy S7 Special Edition,"While on a call, tap Add call.

	To dial the second number manually, enter the 10-digit phone number and tap the Call button.

	To dial a number from the contact list, tap CONTACTS.

	Scroll to and tap the preferred contact.

	Tap the preferred phone number.

	After the second call connects, tap Merge.

	The conference call is now initiated.",device,,
774,appl_iphon_4_8gb,[],[],[],,"phone freeze, phone unresponsive",FAQs related to your Apple iPhone 4 freezing and/or becoming unresponsive,Why is my Apple iPhone 4 freezing or being unresponsive?,"There are a number of reasons why your Apple iPhone 4 may freeze or become unresponsive, including:
Unstable application Low internal memory Multiple applications running at the same time Your Apple iPhone 4 software may need updating
Troubleshoot your Apple iPhone 4 freezing or becoming unresponsive",device,,
496,no_device,['software'],"['email', 'calls', 'internet&network']","['voicemail', 'signal']",,"voicemail, sprint voicemail, fast busy signal",FAQs about Sprint voicemail,Why do I get a fast busy signal when trying to access my voicemail?,"If you get a fast busy signal when you try to access your voicemail, it simply means that all voicemail channels in your area are busy and that you need to try again later. Likewise, if a caller tries to leave you a voicemail message and gets a fast busy signal, they will be unable to leave you a message and will have to try the call later. To learn how to access your voicemail from another phone, go to Listen to your Sprint voicemail messages .
",general,try to access voicemail,
108,no_device,[],[],[],,"phone freeze, phone unresponsive",FAQs related to your Apple iPhone 5s freezing and/or becoming unresponsive,Why is my Apple iPhone 5s freezing or being unresponsive?,"There are a number of reasons why your Apple iPhone 5s may freeze or become unresponsive, including:
Unstable application Low internal memory Multiple applications running at the same time Your Apple iPhone 5s software may need updating
Troubleshoot your Apple iPhone 5s freezing or becoming unresponsive.",general,,
573,no_device,[],[],[],upgrade device,monthly installments,FAQs about monthly installments,How often can I upgrade if I choose monthly installments?,"You can upgrade at any time after your device is paid in full, even if you are enrolled in the $5 Early Upgrade option.",general,,
893,no_device,['software'],['internet&network'],"['roaming', 'data']",,"data roaming, data limits",Learn more about data roaming,Are there data limits?,"There are limits to the amount of data you can use while roaming, depending on your plan allowance. Data usage is calculated by the size of the file sent or received. Use our data calculator to estimate your data usage. Use on the Sprint network, Extended Coverage and Extended LTE networks counts towards your plan allowance; roaming use is determined by use accessed on roaming networks. Not all services are available in all areas, so it's important to know the coverage and service available. You can view Sprint network, Extended Coverage, Extended LTE and off-network roaming coverage on sprint.com/coverage . You can monitor your roaming usage online in My Sprint. Sign in to My Sprint , go to the My Account tab, find the phone you'd like to see usage for and click the See all usage link. You'll see all of the usage for your current billing cycle.
",general,,
1234,no_device,[],[],[],create safety checks,sprint family locator,Create safety checks in Sprint Family Locator,Create safety checks in Sprint Family Locator,"Safety Checks in Sprint Family Locator allow you to set a day and time to automatically locate a family member's phone. For example, you can set a Safety Check for 4 p.m. each weekday to make sure your child gets home safely from school. Once you create a Safety Check, Sprint Family Locator will locate your family member and send their location via email or text.
Create a Safety Check
From the home screen of Sprint Family Locator, click the Safety Checks tab Click the Safety Checks link for the family member you want to check Choose the place where you expect your family member to be at the time you
will set in the Safety Checks. If you haven't created any places, select New
Place and you will be able to set one. Select the time and day of the week at which to locate your family member and
click Continue . You can select multiple days for a Safety Checks. Select to receive a text or email with your family member's location
information. You also may choose to enter an additional email address. Note: By default, Safety Checks only tell you when you family member's
phone is NOT at a specific place at a certain time. If you also would like to
know whether your family member's phone IS at a specific place, check the box
that says Also send messages when a family member is near place . Click Save",general,,
1198,no_device,[],[],[],,HD voice,FAQs about HD Voice from Sprint,What is HD Voice from Sprint?,"HD Voice is a new Sprint standard for crystal clear voice calls that virtually eliminates background noise. HD Voice provides a fuller, more natural-sounding voice, plus noise cancelling technology that helps reduce background noise from places like a busy road, a crowded restaurant or a construction site. Noise cancellation also reduces the effect of extreme weather conditions like a windy day.
There is no additional charge for using HD Voice.",general,,
1678,appl_iphon_4_8gb,['software'],['internet&network'],['data'],"enable mobile data, disable mobile data",,Enable/disable mobile data on your Apple iPhone 4,Enable/disable mobile data on your Apple iPhone 4,"Steps to enable or disable mobile data on your Apple iPhone 4 
   You may wish to disable mobile data to improve battery life or while troubleshooting connectivity issues. 
    
    From the home screen, tap the Settings icon. 
    Tap General. 
    Tap Cellular. 
    Next to Cellular Data, tap the toggle switch to enable or disable mobile data. 
    Note: If the Cellular Data setting is On, mobile data is enabled.",device,,
75,no_device,[],[],[],,sprint one up,Learn more about Sprint One Up,What is Sprint One UpSM?,"Sprint One UpSM was a program that retired on 1/9/2014. The program consisted of customers who purchased an eligible smartphone with no down payment, depending on device, and agreed to 24 monthly installment payments for the device.",general,,
931,no_device,[],[],[],program a device,,Program your Nexus 5X,Program your Nexus 5X,"Steps to activate your Nexus 5X
Symptoms:
Phone is not active Unable to make or receive calls Unable to send or receive text messages
Note: Before you try these steps, check the Sprint coverage map and verify that you are in an area with good coverage. A compatible Sprint SIM card is necessary for your Nexus 5X to activate. You can obtain a Sprint SIM card by visiting a convenient Sprint Repair center.
Hands-free activation
If this is the first time activating your phone, hands-free activation automatically runs in the background as you go through the initial sign-in process.
Initial sign-in and first use
Update the data profile
If this is not the first time activating your phone or hands-free activation did not complete successfully, update the data profile.
Update the data profile
Reset network connection
If the activation methods above did not work, reset your network connection.
From the home screen, tap Phone . Dial *#*#72786#*#* . Your phone will restart. After it restarts and reconnects to the network, your phone automatically launches hands-free activation.
If you are having trouble activating your Nexus 5X, make an appointment at a convenient Sprint Store.",general,,
1008,no_device,"['hardware', 'software']","['sound', 'default_apps']","['rington', 'music']",unsubscribe from Credit Bundles,"Credit Bundles, Sprint Music Plus",FAQs about Sprint Music Plus full track and ringtone bundles,How do I unsubscribe from Credit Bundles?,"Unsubscribing from the Credit Bundles can be done through the fly-out menu (click top left corner of screen to access the menu) of the Sprint Music Plus app. You can unsubscribe in the ""Settings"" menu.",general,,
121,no_device,['bill'],['bill'],[],learn about bill,,New customers: Learn about your first bill,New customers: Learn about your first bill,Take a tour of the new bill below. Hover over the yellow annotations to learn more about each section. Use the page links to check out each page.,general,,
348,no_device,"['device', 'software']",['internet&network'],"['data', 'wifi']",,"data connectivity, Netgear 341U USB Modem",FAQs about the data connectivity of your Netgear 341U USB Modem,Can my computer connect to Wi-Fi while using this device?,Yes. The Netgear 341U USB Modem disconnects when you connect to Wi-Fi.,general,,remove
1006,no_device,[],[],[],,"Sprint Discount Program, discount on invoice",FAQ related to the Sprint Discount Program,When will the discount appear on my invoice?,"Once we validate your information, the discount will appear on your invoice in 1 to 2 billing cycles.",general,,
2088,samsung_galaxi_s7,['software'],"['setting', 'email']",['setting'],"set up email, setup email",personal email,Set up personal email - Samsung Galaxy S7,Set up personal email - Samsung Galaxy S7,,device,,
207,no_device,['software'],['internet&network'],"['roaming', 'data']",troubleshoot issues,data roaming,Learn more about data roaming,What  if I have issues while roaming?,"If you are having a problem with calls or data while roaming, please contact us to report your roaming problem. For domestic roaming, contact us at 1-888-211-4727. When you are roaming, you will not be able to contact Sprint Customer Care by dialing *2 Talk. For international roaming, chat with Sprint Worldwide Care at www.sprint.com/international (click Chat with us) or call 1-817-698-4199 (option 3).",general,,
1782,samsung_galaxi_s7,['troubleshoot'],[],[],troubleshoot issues,"special edition, charging issue",Troubleshoot charging issues on your Samsung Galaxy S7 Special Edition,Troubleshoot charging issues on your Samsung Galaxy S7 Special Edition,"This article helps troubleshoot charging issues on your Samsung Galaxy S7 Special Edition 
  You may have charging issues if your Samsung Galaxy S7 Special Edition: 
   
   Doesn't charge 
   Charges slowly 
   
  Try each of these steps if your phone has charging issues. 
   
    Verify that your phone and charging port are not damaged.  
     
     Carefully inspect your phone to be sure it's not overheating, swollen or damaged. 
     Carefully inspect your phone's charging port and remove any debris. 
     Caution: If your phone is damaged, do not complete the remaining steps in this guide. Make an appointment at a convenient Sprint Repair center.   
    Verify whether your Samsung Galaxy S7 Special Edition can power on.  
     
     Press and hold the Power key. 
      
      If your Samsung Galaxy S7 Special Edition does not turn on, troubleshoot when your Samsung Galaxy S7 Special Edition doesn't turn on. 
      
      
    Verify that your charger is working.  Connect your phone to your charger and see if the charging icon displays. Note: You risk severe damage to your phone if the charger isn't the same voltage, amps, and plug type as your original charger. You can purchase compatible chargers on sprint.com and at any Sprint Store.   
    Verify that your Samsung Galaxy S7 Special Edition is running the most recent software.  There may be a software update that improves battery life on your phone. Check for software updates.  
    Safely remove your SD card.  
     
     From the home screen, tap Apps. 
     Tap Settings. 
     Scroll to and tap Storage. 
     Tap SD card. 
     Tap Unmount. 
     Remove the SD card. 
      
    Perform a soft reset.   A soft reset restarts your phone and does not erase any of your content or data. 
     
     Press and hold the Power and Volume down keys at the same time. 
     Release both keys as soon as the device restarts. 
      
   
  If you're still having issues, try the Sprint Community pages, troubleshoot battery life, or make an appointment at a convenient Sprint Repair center.",device,,
570,no_device,[],[],[],change security question or answer,"My Sprint, security question",Change your security question or answer in My Sprint,Change your security question or answer in My Sprint,"Your security question and answer can be used to help retrieve your account PIN or validate that you're the account holder if you ever forget your PIN.
When you create your account PIN, you will select a security question and provide an answer only you will know. You will use the question and answer to verify your identity in case you forget your account PIN.
To change your security question and your PIN:
Sign in to My Sprint Click the My Preferences tab In the All about My Account area, click My account PIN On the Your Account PIN page, select a new security question and enter
the answer to your question. For example, you can select the question First
pet's name? and enter the answer Fido . Capitalization and spacing
count. Click Submit after you enter your answer",general,,
184,no_device,['software'],"['setting', 'email', 'message', 'calls']","['setting', 'voicemail']",,"voicemail, welcome message",FAQs about Sprint voicemail,Why do I keep getting a welcome to voicemail message after my mailbox is already set up?,"The Welcome to Voicemail message is only received when a new mailbox has been established and you are calling for the first time to set it up. If this message is received for an established mailbox, contact us.
",general,,
1322,no_device,[],[],[],know discount offers,"Sprint Discount Program, discount offers",FAQ related to the Sprint Discount Program,How do I know if Sprint offers a discount to my company or organization?,"Go to sprint.com/save and look up your company by typing in your company email address.You alsocan call 1-866-639-8354 or visit a Sprint retail store. Eligibility will depend on the agreement established between Sprint and your employer, school or organization.",general,,
289,no_device,[],[],[],,"fraud claim resolution, fraud claim",Timeline for fraud claim resolution,Timeline for fraud claim resolution,"Once your fraud packet is received, Sprint will review the documentation and contact you (the victim) by mail with the result of the investigation. It may take up to 30 days from the date of receipt to investigate your case fully. However, if you want your case to be reviewed faster, you may overnight your packet to Sprint Fraud Management. Sprint will review these packets within 48 business hours of receipt.
If your account is confirmed fraud, Sprint will close the account that was opened using your name and personal information and will adjust any balance on the account to zero. Any collection agency assigned will be notified that the account is fraudulent. It may be necessary for Sprint to contact you during normal business hours regarding your claim, so ensure that you have provided a valid daytime contact number. We also recommend you keep a copy of all documents submitted for your records.
Sprint is committed to maintaining quality customer focus. We regret this incident occurred and apologize for any inconvenience.",general,,
